SucursalID,ClienteID,NombreSucursal,Direccion,Provincia,Localidad,Latitud,Longitud,CodigoPostal
87,42,Sucursal 2,Diagonal Alvear N° 83,Entre Ríos,Concordia,-31.382518,-58.015832,3200
88,43,Sucursal 1,Boulevard Santa Cruz N° 532,Corrientes,Curuzú Cuatiá,-29.792569,-58.056913,3460
89,43,Sucursal 2,Av. 9 N° 161,Entre Ríos,Paraná,-31.742239,-60.513727,3100
90,44,Sucursal 1,Calle Alem N° 9499,Corrientes,Paso de los Libres,-29.715544,-57.087734,3230
91,44,Sucursal 2,Diag. J.B. Alberdi N° 2169,Chaco,Resistencia,-27.448555,-58.986001,3500
92,44,Sucursal 3,Avenida San Salvador de Jujuy N° 798,Entre Ríos,Concepción del Uruguay,-32.48323,-58.240023,3260
93,44,Sucursal 4,Calle Mar del Plata N° 917,Entre Ríos,Concordia,-31.38374,-58.017576,3200
94,45,Sucursal 1,Diag. 3 N° 346,Chaco,Villa Ángela,-27.584621,-60.714399,3540
95,46,Sucursal 1,Av. 5 N° 433,Formosa,El Colorado,-26.299285,-59.368225,3603
96,47,Sucursal 1,Diagonal J.B. Alberdi N° 192,Formosa,Formosa Capital,-26.183828,-58.182996,3600
97,47,Sucursal 2,Diagonal Mitre N° 329,Corrientes,Goya,-29.142874,-59.263402,3450
98,48,Sucursal 1,Diagonal J.B. Alberdi N° 66,Chaco,Sáenz Peña,-26.791344,-60.436317,3700
99,48,Sucursal 2,Avenida Santa Fe N° 72,Chaco,Barranqueras,-27.482515,-58.931487,3503
100,49,Sucursal 1,Av. 2 N° 143,Misiones,Eldorado,-26.398309,-54.617545,3380
101,50,Sucursal 1,Camino Santa Cruz N° 587,Misiones,Oberá,-27.480824,-55.116686,3360
102,50,Sucursal 2,Avenida Pte. Perón N° 124,Misiones,Eldorado,-26.401377,-54.619544,3380
103,51,Sucursal 1,Diagonal 1 N° 5497,Chaco,Barranqueras,-27.486124,-58.931436,3503
104,51,Sucursal 2,Av. G. Brown N° 25,Chaco,Villa Ángela,-27.585948,-60.713751,3540
105,51,Sucursal 3,Calle Formosa N° 708,Formosa,Clorinda,-25.284155,-57.716196,3610
106,51,Sucursal 4,Av. J.M. de Rosas N° 5360,Chaco,Barranqueras,-27.480456,-58.935699,3503
107,52,Sucursal 1,Calle Santa Fe N° 228,Chaco,Villa Ángela,-27.583098,-60.714953,3540
108,53,Sucursal 1,Av. San Salvador de Jujuy N° 59,Entre Ríos,Gualeguay,-33.138722,-59.318384,2840
109,54,Sucursal 1,Av. 112 B N° 4319,Misiones,Oberá,-27.480689,-55.113751,3360
110,54,Sucursal 2,Av. Chaco N° 1536,Chaco,Resistencia,-27.453043,-58.985045,3500
111,55,Sucursal 1,Calle Neuquén N° 409,Formosa,Ingeniero Juárez,-23.902831,-61.848797,3636
112,55,Sucursal 2,Av. Comodoro Rivadavia N° 115,Formosa,Ingeniero Juárez,-23.899618,-61.849621,3636
113,56,Sucursal 1,Avenida 5 N° 189,Formosa,Formosa Capital,-26.183047,-58.185247,3600
114,56,Sucursal 2,Calle Santa Cruz N° 197,Corrientes,Goya,-29.142858,-59.264304,3450
115,57,Sucursal 1,Calle 136 A N° 723,Corrientes,Corrientes Capital,-27.480341,-58.837596,3400
116,58,Sucursal 1,Boulevard 8 N° 389,Chaco,Sáenz Peña,-26.790361,-60.439055,3700
117,58,Sucursal 2,Calle Catamarca N° 6854,Chaco,Resistencia,-27.448587,-58.983534,3500
118,58,Sucursal 3,Calle La Plata N° 609,Misiones,Posadas,-27.369743,-55.898214,3300
119,58,Sucursal 4,Diagonal J.M. de Rosas N° 796,Entre Ríos,Gualeguaychú,-33.005297,-58.509154,2820
120,58,Sucursal 5,Av. Malvinas Argentinas N° 5444,Formosa,Clorinda,-25.281136,-57.713937,3610
121,59,Sucursal 1,Avenida San Juan N° 89,Entre Ríos,Gualeguaychú,-33.005148,-58.511426,2820
122,59,Sucursal 2,Boulevard La Pampa N° 227,Corrientes,Paso de los Libres,-29.713781,-57.088564,3230
123,59,Sucursal 3,Av. Omar Nuñez N° 175,Chaco,Resistencia,-27.449706,-58.985979,3500
124,60,Sucursal 1,Diagonal Neuquén N° 39,Entre Ríos,Paraná,-31.742996,-60.510257,3100
125,60,Sucursal 2,Avenida 6 N° 29,Formosa,Pirané,-25.732139,-59.114127,3606
126,61,Sucursal 1,Camino 194 Bis N° 841,Chaco,Barranqueras,-27.482307,-58.931413,3503
127,61,Sucursal 2,Blv. Santa Rosa N° 905,Misiones,Eldorado,-26.401159,-54.615569,3380
128,62,Sucursal 1,Calle Tierra del Fuego N° 95,Chaco,Resistencia,-27.449727,-58.982907,3500
129,62,Sucursal 2,Diagonal Alem N° 747,Formosa,Ingeniero Juárez,-23.90065,-61.847034,3636
130,63,Sucursal 1,Av. San Martin N° 84,Corrientes,Goya,-29.142308,-59.263791,3450
131,63,Sucursal 2,Diag. Viedma N° 3576,Formosa,El Colorado,-26.301675,-59.366307,3603
132,63,Sucursal 3,Calle Santa Rosa N° 5971,Formosa,Formosa Capital,-26.185456,-58.181828,3600
133,63,Sucursal 4,Diagonal Río Gallegos N° 711,Chaco,Barranqueras,-27.484219,-58.934383,3503
134,64,Sucursal 1,Av. 4 N° 4683,Corrientes,Curuzú Cuatiá,-29.78777,-58.05328,3460
135,64,Sucursal 2,Avenida Mendoza N° 84,Entre Ríos,Concepción del Uruguay,-32.48028,-58.23752,3260
136,64,Sucursal 3,Av. Santa Cruz N° 831,Chaco,Villa Ángela,-27.585042,-60.715541,3540
137,64,Sucursal 4,Calle San Juan N° 56,Misiones,Oberá,-27.48476,-55.119052,3360
138,65,Sucursal 1,Calle Posadas N° 21,Corrientes,Goya,-29.141084,-59.261304,3450
139,65,Sucursal 2,Diag. 2 N° 38,Chaco,Resistencia,-27.448793,-58.985642,3500
140,66,Sucursal 1,Diagonal 193 B N° 374,Misiones,Oberá,-27.483024,-55.119091,3360
141,66,Sucursal 2,Av. 146 A N° 25,Formosa,Formosa Capital,-26.181568,-58.182832,3600
142,67,Sucursal 1,Av. Río Negro N° 658,Chaco,Resistencia,-27.451392,-58.983805,3500
143,68,Sucursal 1,Av. 7 N° 122,Chaco,Charata,-27.21958,-61.201433,3730
144,69,Sucursal 1,Avenida Río Negro N° 865,Corrientes,Curuzú Cuatiá,-29.790649,-58.051972,3460
145,69,Sucursal 2,Diag. Neuquén N° 2222,Chaco,Resistencia,-27.449708,-58.985318,3500
146,70,Sucursal 1,Calle Rawson N° 8682,Misiones,Oberá,-27.482736,-55.116018,3360
147,70,Sucursal 2,Avenida Ushuaia N° 974,Formosa,Clorinda,-25.282073,-57.717112,3610
148,71,Sucursal 1,Diagonal 9 N° 32,Entre Ríos,Paraná,-31.739561,-60.513557,3100
149,72,Sucursal 1,Calle Mendoza N° 380,Misiones,Oberá,-27.485067,-55.11856,3360
150,73,Sucursal 1,Avenida 1 N° 449,Entre Ríos,Concepción del Uruguay,-32.483911,-58.238775,3260
151,73,Sucursal 2,Calle Chubut N° 291,Corrientes,Goya,-29.141043,-59.262402,3450
152,74,Sucursal 1,Diag. Formosa N° 17,Chaco,Sáenz Peña,-26.794873,-60.441077,3700
153,74,Sucursal 2,Calle J.M. de Rosas N° 892,Corrientes,Paso de los Libres,-29.714033,-57.086528,3230
154,75,Sucursal 1,Camino 7 N° 474,Formosa,El Colorado,-26.301802,-59.369546,3603
155,75,Sucursal 2,Boulevard J.B. Alberdi N° 662,Chaco,Villa Ángela,-27.582471,-60.713838,3540
156,75,Sucursal 3,Camino La Plata N° 115,Formosa,El Colorado,-26.297937,-59.36785,3603
157,75,Sucursal 4,Boulevard San Ferando del Valle de Catamarca N° 385,Formosa,Clorinda,-25.283474,-57.714331,3610
158,76,Sucursal 1,Avenida Tierra del Fuego N° 345,Corrientes,Mercedes,-29.180449,-58.079575,3470
159,76,Sucursal 2,Av. Malvinas Argentinas N° 3615,Formosa,Formosa Capital,-26.180987,-58.184084,3600
160,76,Sucursal 3,Diagonal Córdoba N° 29,Formosa,Ingeniero Juárez,-23.902732,-61.850362,3636
161,77,Sucursal 1,Diag. San Miguel de Tucumán N° 8176,Misiones,Posadas,-27.365078,-55.895715,3300
162,77,Sucursal 2,Diagonal 6 N° 951,Chaco,Barranqueras,-27.481787,-58.932295,3503
163,77,Sucursal 3,Av. Santiago del Estero N° 736,Corrientes,Mercedes,-29.180291,-58.077051,3470
164,78,Sucursal 1,Blv. Salta N° 14,Entre Ríos,Gualeguay,-33.143335,-59.319334,2840
165,78,Sucursal 2,Calle Salta N° 28,Formosa,Pirané,-25.73139,-59.117188,3606
166,79,Sucursal 1,Avenida San Luis N° 1893,Entre Ríos,Gualeguay,-33.13941,-59.316842,2840
167,79,Sucursal 2,Avenida San Martin N° 421,Corrientes,Mercedes,-29.181931,-58.076776,3470
168,80,Sucursal 1,Blv. Malvinas Argentinas N° 1188,Entre Ríos,Concordia,-31.382873,-58.016599,3200
169,80,Sucursal 2,Camino 9 N° 8218,Entre Ríos,Gualeguay,-33.140635,-59.315978,2840
170,81,Sucursal 1,Diagonal 6 N° 95,Formosa,El Colorado,-26.301963,-59.363794,3603
171,81,Sucursal 2,Calle 3 N° 180,Misiones,Posadas,-27.365249,-55.898343,3300
172,82,Sucursal 1,Av. Omar Nuñez N° 841,Corrientes,Mercedes,-29.17837,-58.079288,3470
173,82,Sucursal 2,Av. Alem N° 328,Chaco,Villa Ángela,-27.581295,-60.718153,3540
174,83,Sucursal 1,Avenida Omar Nuñez N° 592,Corrientes,Mercedes,-29.183778,-58.078562,3470
175,83,Sucursal 2,Calle San Martin N° 3674,Entre Ríos,Gualeguaychú,-33.008843,-58.512143,2820
176,83,Sucursal 3,Diagonal Río Gallegos N° 2770,Formosa,El Colorado,-26.297497,-59.369626,3603
177,83,Sucursal 4,Diag. Tierra del Fuego N° 641,Entre Ríos,Gualeguay,-33.141565,-59.317182,2840
178,84,Sucursal 1,Avenida 6 N° 8517,Chaco,Villa Ángela,-27.585411,-60.716172,3540
179,84,Sucursal 2,Boulevard Mitre N° 2794,Chaco,Sáenz Peña,-26.78965,-60.437724,3700
180,85,Sucursal 1,Calle Omar Nuñez N° 777,Misiones,Apóstoles,-27.914495,-55.764419,3350
181,86,Sucursal 1,Avenida Güemes N° 235,Misiones,Puerto Iguazú,-25.597902,-54.578686,3370
182,86,Sucursal 2,Av. 7 N° 62,Entre Ríos,Paraná,-31.744675,-60.512848,3100
183,87,Sucursal 1,Diag. Mitre N° 682,Formosa,Pirané,-25.736067,-59.114363,3606
184,88,Sucursal 1,Calle J.M. de Rosas N° 436,Misiones,Eldorado,-26.402704,-54.616849,3380
185,88,Sucursal 2,Calle Salta N° 8236,Misiones,Puerto Iguazú,-25.594818,-54.581479,3370
186,89,Sucursal 1,Av. Constitución N° 4176,Misiones,Apóstoles,-27.918018,-55.76675,3350
187,89,Sucursal 2,Camino J.B. Alberdi N° 173,Chaco,Sáenz Peña,-26.789365,-60.439732,3700
188,90,Sucursal 1,Av. Chubut N° 276,Formosa,El Colorado,-26.298356,-59.367775,3603
189,90,Sucursal 2,Avenida Güemes N° 5523,Formosa,Ingeniero Juárez,-23.89937,-61.852464,3636
190,90,Sucursal 3,Avenida 5 N° 1591,Formosa,El Colorado,-26.301732,-59.364756,3603
191,91,Sucursal 1,Av. 6 N° 55,Entre Ríos,Gualeguaychú,-33.005597,-58.508874,2820
192,91,Sucursal 2,Av. Paraná N° 851,Entre Ríos,Gualeguaychú,-33.006051,-58.513406,2820
193,92,Sucursal 1,Diagonal Resistencia N° 2156,Chaco,Villa Ángela,-27.581617,-60.716554,3540
194,92,Sucursal 2,Calle Corrientes N° 565,Corrientes,Corrientes Capital,-27.482458,-58.832349,3400
195,93,Sucursal 1,Diagonal La Rioja N° 785,Corrientes,Curuzú Cuatiá,-29.791203,-58.054561,3460
196,93,Sucursal 2,Av. San Salvador de Jujuy N° 775,Formosa,Pirané,-25.732072,-59.118056,3606
197,93,Sucursal 3,Av. Saavedra N° 3024,Entre Ríos,Concordia,-31.383269,-58.015888,3200
198,94,Sucursal 1,Diagonal J.M. de Rosas N° 859,Corrientes,Corrientes Capital,-27.482048,-58.834667,3400
199,95,Sucursal 1,Avenida Rosario N° 995,Misiones,Posadas,-27.364337,-55.896253,3300
200,95,Sucursal 2,Diagonal La Rioja N° 191,Formosa,Pirané,-25.734235,-59.114674,3606
201,96,Sucursal 1,Av. Alvear N° 2747,Corrientes,Mercedes,-29.18259,-58.079581,3470
202,96,Sucursal 2,Calle 5 N° 24,Misiones,Posadas,-27.364977,-55.894421,3300
203,96,Sucursal 3,Av. Misiones N° 4135,Misiones,Eldorado,-26.397857,-54.615816,3380
204,97,Sucursal 1,Avenida Tierra del Fuego N° 3546,Misiones,Apóstoles,-27.91579,-55.76662,3350
205,98,Sucursal 1,Avenida 4 N° 149,Entre Ríos,Gualeguay,-33.139231,-59.315816,2840
206,99,Sucursal 1,Diagonal 6 N° 98,Misiones,Puerto Iguazú,-25.598686,-54.576769,3370
207,100,Sucursal 1,Diagonal J.J. Castelli N° 456,Misiones,Apóstoles,-27.917157,-55.767441,3350
208,100,Sucursal 2,Avenida Pte. Perón N° 825,Formosa,Ingeniero Juárez,-23.900246,-61.851691,3636
209,101,Sucursal 1,Avenida San Miguel de Tucumán N° 106,Entre Ríos,Paraná,-31.741393,-60.514456,3100
210,101,Sucursal 2,Avenida 7 N° 57,Formosa,Ingeniero Juárez,-23.899631,-61.849437,3636
211,101,Sucursal 3,Calle Mendoza N° 534,Formosa,Formosa Capital,-26.184509,-58.185651,3600
212,101,Sucursal 4,Boulevard Comodoro Rivadavia N° 147,Corrientes,Mercedes,-29.182282,-58.080241,3470
213,102,Sucursal 1,Diag. Río Gallegos N° 55,Entre Ríos,Gualeguaychú,-33.009139,-58.509863,2820
214,102,Sucursal 2,Avenida 7 N° 2123,Formosa,Ingeniero Juárez,-23.901207,-61.8521,3636
215,102,Sucursal 3,Diagonal Chaco N° 1417,Entre Ríos,Gualeguay,-33.143258,-59.319359,2840
216,103,Sucursal 1,Diag. J.M. de Rosas N° 712,Misiones,Puerto Iguazú,-25.596237,-54.577515,3370
217,103,Sucursal 2,Diagonal Salta N° 2992,Entre Ríos,Concordia,-31.386147,-58.016716,3200
218,103,Sucursal 3,Blv. La Pampa N° 7453,Misiones,Posadas,-27.368543,-55.896589,3300
219,103,Sucursal 4,Av. San Luis N° 207,Misiones,Apóstoles,-27.91528,-55.766202,3350
220,104,Sucursal 1,Avenida 5 N° 51,Chaco,Charata,-27.217641,-61.19872,3730
221,104,Sucursal 2,Avenida Pte. Perón N° 5832,Entre Ríos,Concordia,-31.383092,-58.014991,3200
222,104,Sucursal 3,Diagonal La Rioja N° 254,Misiones,Puerto Iguazú,-25.597156,-54.576527,3370
223,104,Sucursal 4,Avenida Güemes N° 904,Entre Ríos,Paraná,-31.743813,-60.513914,3100
224,105,Sucursal 1,Av. Pte. Perón N° 2247,Misiones,Eldorado,-26.398649,-54.616346,3380
225,105,Sucursal 2,Av. Santa Fe N° 614,Chaco,Sáenz Peña,-26.789518,-60.435702,3700
226,106,Sucursal 1,Diag. J.B. Alberdi N° 270,Chaco,Charata,-27.217568,-61.198535,3730
227,107,Sucursal 1,Av. Mendoza N° 86,Formosa,Clorinda,-25.281571,-57.717712,3610
228,107,Sucursal 2,Diagonal Salta N° 78,Misiones,Apóstoles,-27.916187,-55.766917,3350
229,107,Sucursal 3,Blv. San Martin N° 6054,Corrientes,Corrientes Capital,-27.480677,-58.832402,3400
230,108,Sucursal 1,Calle 4 N° 997,Chaco,Charata,-27.214363,-61.199997,3730
231,109,Sucursal 1,Diagonal Mendoza N° 967,Chaco,Charata,-27.216521,-61.200521,3730
232,109,Sucursal 2,Avenida Rivadavia N° 68,Corrientes,Curuzú Cuatiá,-29.791876,-58.056098,3460
233,109,Sucursal 3,Diag. 5 N° 939,Formosa,Formosa Capital,-26.180377,-58.180943,3600
234,109,Sucursal 4,Diagonal Río Negro N° 194,Formosa,Formosa Capital,-26.185441,-58.181126,3600
235,110,Sucursal 1,Av. San Salvador de Jujuy N° 65,Corrientes,Corrientes Capital,-27.480575,-58.833814,3400
236,110,Sucursal 2,Calle 189 A N° 6621,Corrientes,Curuzú Cuatiá,-29.79082,-58.056952,3460
237,111,Sucursal 1,Calle Jujuy N° 1951,Chaco,Sáenz Peña,-26.793944,-60.436459,3700
238,111,Sucursal 2,Diagonal 1 N° 86,Formosa,Clorinda,-25.281713,-57.716763,3610
239,112,Sucursal 1,Av. Pte. Perón N° 25,Corrientes,Curuzú Cuatiá,-29.789013,-58.053499,3460
240,113,Sucursal 1,Camino Omar Nuñez N° 138,Formosa,Clorinda,-25.280508,-57.7174,3610
241,113,Sucursal 2,Avenida Buenos Aires N° 221,Corrientes,Corrientes Capital,-27.480297,-58.833216,3400
242,114,Sucursal 1,Avenida Resistencia N° 498,Formosa,Formosa Capital,-26.181759,-58.183114,3600
243,115,Sucursal 1,Calle Salta N° 67,Corrientes,Corrientes Capital,-27.47974,-58.836107,3400
244,115,Sucursal 2,Boulevard Corrientes N° 716,Formosa,Formosa Capital,-26.184427,-58.185684,3600
245,116,Sucursal 1,Calle 8 N° 928,Formosa,Clorinda,-25.285298,-57.714757,3610
246,116,Sucursal 2,Camino Río Negro N° 4279,Formosa,Clorinda,-25.280609,-57.716964,3610
247,116,Sucursal 3,Av. Mitre N° 1730,Formosa,Clorinda,-25.283698,-57.715579,3610
248,116,Sucursal 4,Diag. 2 N° 887,Corrientes,Corrientes Capital,-27.481444,-58.832192,3400
249,117,Sucursal 1,Avenida San Luis N° 7645,Chaco,Sáenz Peña,-26.794211,-60.435659,3700
250,117,Sucursal 2,Av. Mendoza N° 6511,Entre Ríos,Paraná,-31.744785,-60.513154,3100
251,118,Sucursal 1,Av. Salta N° 43,Chaco,Sáenz Peña,-26.790796,-60.437562,3700
252,119,Sucursal 1,Avenida Malvinas Argentinas N° 872,Corrientes,Paso de los Libres,-29.7136,-57.086597,3230
253,120,Sucursal 1,Av. 6 N° 913,Misiones,Eldorado,-26.397741,-54.618165,3380
254,121,Sucursal 1,Diag. Tierra del Fuego N° 39,Formosa,El Colorado,-26.297032,-59.365728,3603
255,122,Sucursal 1,Boulevard Córdoba N° 39,Corrientes,Goya,-29.139262,-59.263199,3450
